customerId,name,phone_number,address,DOB,customer_since,gender,point,remaining_point
60,Scott Hopkins,669-2843-127,"30569 Perkins Trace Hayesbury, NV 74593",1981-01-16,2022-10-24,F,1080,1080
61,Tracy Campos,235-8851-222,"544 Stewart Mountain North Chadshire, FL 70982",2001-08-31,2020-11-14,M,979,979
62,John Zimmerman,036-5527-145,"20145 Sherry Fords Apt. 727 East Dawn, MI 09128",1970-04-07,2023-05-14,M,1027,1027
63,Hunter Keith,750-0096-708,"602 Gonzalez Mountain Suite 572 Michaelfurt, KS 18558",1983-10-01,2021-02-01,M,1164,974
64,Matthew Miller,314-0367-290,"23359 Kimberly Crest South Matthew, VT 45356",1996-07-17,2024-07-06,F,1438,1438
65,Andre Thompson,181-1062-026,"65698 Gray Knoll Apt. 268 East Stephanie, MH 27091",1972-06-12,2020-06-19,M,1018,1018
66,James Harrison Jr.,490-1055-510,"708 Skinner Shore Apt. 651 Johnnytown, NH 18340",2003-07-19,2022-04-02,F,1340,1340
67,Peter Caldwell,507-8271-507,"975 Deleon Hill Hintonburgh, PW 02202",1969-12-02,2022-09-08,M,1370,1370
68,Rachel Odom,911-1426-401,"98508 Rebecca Points Apt. 834 Steeleberg, UT 98119",2002-02-23,2025-03-22,M,1654,1654
69,Melissa Solis,079-0688-267,"4344 Morris Fork Jamesmouth, WI 02821",1973-09-26,2020-08-25,F,1198,1198
70,Tonya Mooney,203-0848-685,"1608 Martin Walks Port Joshua, IL 60481",1998-01-08,2020-10-06,M,1272,1272
71,Stacy Marsh,421-6928-676,"3962 Velez Stravenue Port John, CO 60392",1958-09-18,2024-02-29,F,1024,784
72,Mr. Henry Smith,329-7542-365,"402 Lewis Loaf Suite 541 Brittanyview, VT 86947",2005-09-24,2020-08-15,M,1311,1311
73,Sonya Decker,618-3436-851,"136 Fry Rest Suite 680 Stephanieside, NE 86953",1950-11-03,2021-04-04,F,1175,1175
74,Pamela Williams,993-3733-025,"7535 Brad Turnpike Apt. 559 Paulaville, LA 86018",2004-04-24,2023-06-11,F,1163,1163
75,Amanda Johnson,349-0390-916,"6439 Watts Shore Apt. 674 North Aaronmouth, ME 79601",1950-04-18,2020-07-06,M,1252,1252
76,Jillian Beasley,369-4569-295,"569 Benjamin Crest New Thomas, DC 31461",1959-05-09,2024-06-10,F,887,887
77,Sabrina Holder,933-8735-152,"5605 Todd Rue Nicoleberg, NH 06134",1980-06-19,2023-01-19,F,960,960
78,Richard Gardner,480-8480-091,"408 Justin Street Suite 428 Garzamouth, RI 32079",1944-07-03,2023-08-26,F,1007,1007
79,John Gardner,275-5927-165,"263 Rodriguez Square Apt. 548 Williamsbury, CA 33684",2005-11-17,2024-01-25,M,942,942
80,Daniel Walker,239-4323-073,"6934 Kevin Cliffs West Amy, NJ 72015",1999-10-09,2024-04-20,M,1422,1422
81,Jasmin Key,033-0866-338,"4932 Kelly Ranch Jamesstad, OK 61814",1959-08-20,2023-04-03,F,1262,1262
82,Stephanie Anderson,839-3735-513,"523 Paul Corner West Michaelfurt, MD 02516",2008-03-10,2024-05-05,F,1058,1058
83,Taylor Williams,429-1822-622,"6565 Christian Divide Lake Richard, MS 76712",1959-03-20,2023-08-18,M,1186,866
84,Jamie Roberts,159-8831-981,USNS Jimenez FPO AP 01317,1990-04-17,2020-08-20,F,1094,1094
85,Cathy Lee,046-7678-344,Unit 4708 Box 4401 DPO AP 49018,1951-07-29,2022-03-06,M,1080,1080
86,Kathy Moses,198-7440-920,"3362 Charles Meadows Suite 658 East Erin, WY 20692",1963-06-30,2020-10-22,F,1259,1259
87,Suzanne Horn,232-5069-123,Unit 1275 Box 5629 DPO AP 60967,1965-12-18,2021-01-18,F,860,860
88,Edward Marshall,340-6654-837,"85026 Brown Spurs Apt. 867 North Theresamouth, PA 85705",2002-08-08,2023-01-09,M,1167,1167
89,John Craig,091-8113-258,USCGC Griffith FPO AP 54923,1944-12-07,2022-01-08,F,982,982
90,Lisa Baker,976-1638-230,"554 Long Passage Lisachester, VI 35840",1958-08-21,2022-04-12,M,1141,1141
91,William Mitchell,397-7335-199,"420 Evan Ports Apt. 187 Delgadoton, NM 50814",1953-12-16,2022-01-15,F,1304,1304
92,Catherine Hendricks,470-6847-497,"757 Kane Brook Suite 079 Aprilmouth, FM 41584",1981-08-19,2022-01-30,M,1192,1192
93,Melissa Jackson,541-3766-019,"722 Jessica Plains Apt. 521 Nathanielberg, DC 45784",1959-02-12,2024-04-03,F,1072,1072
94,Matthew Patel,725-4624-500,"9546 Hudson Ford Suite 048 New Jayville, FL 91665",1999-07-26,2021-08-15,M,1421,1421
95,Nancy Richardson,665-0043-517,"859 Cheryl Spur Suite 361 Hermanstad, CA 17625",1963-08-30,2024-07-14,F,1479,1479
96,John Martin,952-2355-305,"343 Allen Rapids New Mistyville, FM 01067",1974-02-01,2022-11-17,M,1487,727
97,Amanda Aguilar,194-2953-570,"3117 Emily Islands Apt. 543 New Isaachaven, LA 68114",1976-08-05,2025-01-08,F,1086,1086
98,Edward Wilson,409-8957-049,"09357 Rush Club Suite 971 Lake Samuelhaven, TN 07367",2002-07-28,2022-09-04,F,1215,1215
99,Madeline Jones,724-3805-809,"1012 James Greens Apt. 376 Barbarashire, AR 59934",1968-02-08,2021-09-21,F,1271,1271
100,Jennifer Clark,928-6175-791,"15023 Stephen Pine Suite 079 New Daniel, DE 95789",1950-10-17,2025-02-02,F,962,962
101,Holly Moran,954-4760-250,"69755 Debra Trail New Wesley, AL 53161",1968-04-15,2023-12-29,M,1011,1011
102,Michael Stevenson,700-4488-751,"837 Bowman Station South Christyville, ME 53630",2005-01-10,2022-12-14,F,1441,1441
103,Michael Hansen,387-9323-363,"5674 Michelle Crest Suite 641 Gabrielaburgh, OH 77005",1967-01-01,2021-09-22,M,1250,1250
104,Kenneth Hansen,449-3828-293,"304 Riley Lake Rodriguezborough, WI 35848",1951-04-11,2020-06-16,F,1210,1210
105,Brandi Byrd,675-1142-173,"91471 Whitehead Wall Suite 510 Martinezstad, ND 52953",1998-04-26,2020-09-29,M,1206,1206
106,Luis Diaz,275-1494-740,"597 Angela Corner Apt. 507 Terriburgh, NY 02131",2009-03-02,2020-10-15,F,1527,1527
107,Crystal Berger,181-7442-896,"761 Mary Squares Suite 762 West Briannastad, SC 51316",1975-04-19,2022-12-21,M,1206,1206
108,Zachary Walters,949-4909-216,"20459 Wilkinson Pines West Christophermouth, LA 43962",2000-10-16,2023-09-15,M,972,972
109,Sean Steele,770-5331-656,"902 Salazar Mall Rogerstad, KY 43611",1994-11-24,2024-08-10,F,1238,1238
110,Paul Ross,941-5581-250,"263 Anderson Glen Baxterville, MT 78895",1951-01-07,2022-10-06,F,1311,1311
111,Gina Patel,531-6452-288,USCGC Tyler FPO AE 50987,1989-08-13,2023-08-02,M,1083,1083
112,Jennifer Watkins,065-0532-059,"44666 Thomas Prairie West Danieltown, MT 52698",1953-01-04,2021-03-27,F,1419,1419
113,Gregory Jordan,860-9487-008,"512 Gibson Mountain West Benjaminmouth, UT 11720",1990-12-15,2021-02-24,M,1266,1266
114,Ethan Wright,363-8939-634,"03738 Carter Lakes Apt. 065 Valenciachester, KY 66409",1991-07-07,2020-04-25,M,1221,1221
115,Ashley Rodriguez,210-7768-692,"24838 Bennett Throughway Suite 008 Lake Melissa, OH 02601",1949-12-08,2022-02-24,F,1052,1052
116,Michael Martin,967-6640-021,"038 Mcdowell Rapid Port Jasonborough, KY 90912",2003-07-31,2021-04-26,M,1207,887
117,Steve Smith,795-6255-977,"PSC 4159, Box 5592 APO AA 08862",1979-07-15,2024-09-05,F,1000,1000
118,Jessica Davis,760-9442-760,"09651 James Flats Barbaraborough, MP 58610",1959-05-05,2022-12-27,F,1325,1325
119,Mrs. Hannah Long,792-6872-413,"PSC 1751, Box 9239 APO AE 58158",1972-03-30,2021-07-15,M,1080,1080
120,Sarah Gray,603-8967-829,"1485 Mcneil Plaza North Jodi, KS 32997",1946-01-25,2022-01-04,M,1150,1150
121,Alyssa Carlson,485-8442-048,"7585 Smith Villages Suite 311 West Morgan, GU 94991",1944-05-21,2020-11-02,F,1071,1071
122,Zachary Martin,450-3516-946,"347 Kimberly Walks Port Biancaport, CT 37839",1994-09-02,2021-09-25,M,1245,1245
123,Brian Lowery,281-8372-513,"3727 Jade Keys Davidton, MS 58208",1976-02-13,2022-08-20,M,1255,1255
124,Morgan Williams,006-3456-160,"10486 Joann Manors Suite 333 South Brandiberg, LA 44574",1970-07-07,2021-05-01,M,1283,1283
125,James Jimenez,115-3491-428,"25975 Amanda Course East Taraville, VA 52699",1961-09-24,2023-07-08,F,1235,1235
126,Manuel Hayden,135-7279-770,"94149 David Neck South William, MN 65107",2002-08-23,2025-03-06,M,1288,1288
127,Jennifer Jones,749-7901-229,"84438 Smith Turnpike West Amanda, ND 94173",1969-11-26,2020-04-24,M,1241,1241
128,Rachael Ortiz,865-9245-363,"6882 Emily Bridge Apt. 368 Michaelland, AS 55766",1998-05-19,2022-10-28,M,1315,1315
129,Rachel Fowler,642-5660-408,"4476 Madison Villages Apt. 089 Andersonmouth, MH 80545",1946-04-16,2023-06-01,M,1442,1402
130,Kendra Griffin,963-2770-201,"15174 Murphy Lock Suite 705 Brownburgh, NV 58621",1970-06-24,2023-05-16,M,1110,1110
131,Michael Simmons,697-6098-444,USNV Howard FPO AP 77077,1988-11-17,2024-05-06,M,1000,1000
132,William Anderson,435-7501-367,"1745 Craig Shoals Apt. 745 Davismouth, GA 54240",1949-12-21,2023-07-23,M,1127,1127
133,Ashley Bridges,385-8585-713,"543 April Hollow New Jonfort, WV 38826",1961-08-13,2020-07-23,M,1191,1191
134,Wayne Chen,827-8742-551,"04639 Stacey Skyway Lake Hollytown, MN 38194",1982-04-17,2023-04-01,F,1186,1186
135,Jeremy Williamson,275-7727-396,"867 Melissa Springs Charleschester, CA 66438",1944-08-01,2020-11-29,F,1526,1526
136,Daniel Carney,741-8898-053,"07112 Lewis Neck Apt. 438 South Ryan, DE 64025",2009-01-23,2023-01-05,F,1075,1075
137,Gregory Finley,330-8257-296,"00467 Keller Cape Apt. 462 Port Anaport, ME 46372",2008-03-19,2023-07-04,M,984,984
138,Robert Larsen,439-7455-271,"99797 Rose Ports Ryanville, MD 88293",1978-05-09,2024-12-31,M,1082,1082
139,Desiree Hughes,701-3735-067,"068 Holmes Square Apt. 248 West Sarashire, FL 85764",1945-12-03,2021-12-13,F,992,992
140,Kayla Hayes,961-6705-299,"06110 Carrie Station Suite 636 New Randy, NV 11362",1986-12-04,2022-09-19,M,1188,1188
141,Justin Harris,058-3288-146,"5528 Carrie Place Suite 030 Jonesmouth, MP 93261",1995-06-01,2021-11-14,F,1161,1161
142,Mitchell Campos,960-4680-013,"82585 Stuart Highway Suite 827 Garciaville, MS 15379",1969-11-24,2025-02-07,M,1066,1066
143,Francisco Mooney,750-8772-776,"7365 Morris Islands Lake Jessica, VI 16330",1959-08-01,2021-03-06,M,1074,1074
144,Maria Carlson,507-9826-152,"29828 Matthew Island Suite 916 West Paul, PW 88636",1995-06-23,2021-05-14,M,1186,1186
145,Tony Schmidt,224-8697-107,"6769 Cervantes Square Apt. 458 Martinhaven, IL 79645",1954-08-04,2024-02-17,F,1241,1241
146,Karla Sutton,831-1600-106,"4383 Berger Knolls Apt. 866 East Kathleenport, LA 33824",1974-10-29,2025-01-16,F,1166,1166
147,Latasha Schmidt,811-5043-255,"2474 Jasmine Squares New Alexandra, MT 38801",1950-10-29,2024-06-22,F,1395,1395
148,Michael Lee,414-6169-527,"8069 Kyle Mills Adamsside, FM 81555",1963-07-11,2023-01-20,M,873,873
149,Melissa Anderson,709-7042-979,"60924 Lewis Canyon South Brittneyland, NJ 24343",1972-01-13,2022-12-05,M,1135,1135
150,Eric Curtis,265-8885-447,"675 Robert Turnpike Johntown, CO 40114",1983-11-11,2023-07-06,F,1111,1111
151,Kellie Price,510-1271-102,USS Sandoval FPO AP 98556,1959-12-01,2021-07-16,F,1307,1307
152,Ronald Brandt,421-5991-186,"8054 Gina Crest Alexandermouth, LA 14886",1962-10-04,2023-10-09,F,1303,1303
153,Sherry Holloway,380-3983-770,"43624 Boone Isle East Jeffery, NV 45721",1973-12-10,2025-02-10,F,1353,1353
154,Maria Villanueva,944-3363-224,"PSC 7646, Box 7620 APO AP 72272",1955-07-23,2020-11-21,M,1197,1197
155,Christine Ross,792-7137-823,"2275 Brandy Inlet Hartton, MS 17808",1979-08-25,2024-12-29,M,1366,1366
156,Anthony Harris,029-2077-462,"44572 Arnold Shore Apt. 797 Diazshire, ND 89654",1968-06-24,2022-02-16,M,1381,1381
157,Jonathan Dodson,145-6322-692,"3155 Harvey Point Justinstad, OK 44020",1963-02-11,2023-03-15,F,1403,1403
158,Zachary Dixon,002-4398-316,"561 Victoria Harbors South Sarah, NC 67651",2003-01-13,2024-01-26,M,1226,1226
159,Holly Adams,270-9361-558,"49358 Brenda Ports New Christopher, DC 78200",1979-02-14,2020-12-10,F,869,869
160,William Hart,859-4125-262,"273 Morris Path Suite 086 Allenside, NM 51066",1962-09-30,2022-12-06,M,1225,1225
161,Amber Ward,711-6495-698,"859 Bailey Knoll Suite 995 South Rachel, KS 84441",1973-03-29,2021-05-12,M,1155,1155
162,Robert Mora,668-4981-509,Unit 3815 Box 4561 DPO AA 58191,1959-03-01,2023-11-15,M,1343,1343
163,Jane Galloway,010-6248-953,"335 Mercer Burg Apt. 101 Parkerport, IL 31241",2006-06-10,2022-05-22,M,1111,1111
164,Rebecca Dean,839-7183-809,"2296 Horton Course Suite 152 Christymouth, NC 01298",1978-04-18,2023-04-07,F,1208,1208
165,Crystal Barnes,175-9827-045,"95059 Savage Isle Apt. 188 Martinfort, GA 88503",1959-03-09,2025-02-06,M,1291,1291
166,Randall Logan,711-3785-128,"647 Reed Grove Suite 534 Mitchellfurt, MP 99173",1973-10-25,2023-05-27,F,1032,1032
167,Richard Maddox,600-0983-688,"769 Watkins Mission West Scottview, VT 21183",1949-08-31,2024-05-02,F,1438,1438
168,Anna Davis,107-2008-759,"650 Michael Corners East Cathy, MS 82324",1983-02-17,2022-08-09,F,1493,1493
169,Dennis Jackson,024-0613-915,"46751 Bowman Shore Doyleland, ND 39842",1965-01-24,2021-06-01,F,1137,1137
170,Thomas Lindsey,769-5110-443,"6046 Smith Mill East Brandon, PW 75907",1995-02-10,2024-10-31,F,1190,1190
171,Shawn Gilbert,890-6663-212,"660 Karen Fork Parkertown, IA 92641",1980-12-13,2022-02-22,M,1068,1068
172,James Scott,704-5932-758,"462 Devon Summit Stevensmouth, RI 21236",1953-07-17,2022-04-27,F,1088,1088
173,Rodney Hernandez,158-7534-338,"1254 Tommy Estate Robertsfort, MP 66847",2000-03-18,2023-07-04,F,1199,1199
174,Nicholas Ware,759-6883-746,"3218 Brandon Cove Apt. 452 Matthewsmouth, CT 72597",1968-03-20,2023-11-02,F,1321,1321
175,Michelle Fisher,553-5559-088,"2895 Susan Views Suite 030 Port Desiree, PR 24046",1974-01-19,2022-02-02,F,1167,1167
176,Lacey Tran,110-7216-031,"8358 Rebecca Spur East Hannah, MT 10258",2007-09-06,2025-01-08,M,1293,1293
177,Trevor Moore,675-0746-028,Unit 5443 Box 5719 DPO AP 28649,1971-05-26,2020-08-18,F,1376,1376
178,Julie Allen,410-4560-891,USCGC Lopez FPO AP 25359,1959-09-15,2022-07-29,F,1215,1215
179,Ralph Greene,096-6235-585,"8032 Roberts Crossing Michaelstad, ID 75096",1983-12-22,2022-10-10,F,1260,1260
180,Brian Warren,493-8446-707,"540 Martin Road Apt. 252 Lake Ronaldfort, VA 05987",1970-07-06,2023-03-22,F,1327,1327
181,Heidi Curtis,583-0117-709,"62246 Nicole Plain Suite 236 North James, VA 79779",1984-02-06,2025-03-31,F,1063,1063
182,Robert Butler,405-1180-539,"88090 Brown Courts Meganview, IN 84840",2001-12-27,2024-10-20,F,1073,1073
183,Melissa Lynch,495-8192-672,"63784 Collins Trail Port Jennastad, DE 06484",1961-12-22,2023-01-06,M,1181,1181
184,Stephen Perez,546-2887-567,"878 Foster Track Suite 835 East Dale, NY 83643",1947-07-06,2022-03-06,M,1209,1209
185,Miguel Cook,748-4663-076,"0732 Perry Turnpike Apt. 714 Clarkhaven, PW 44181",2001-08-16,2022-08-05,F,1148,1148
186,Ronald Dougherty,230-7926-416,"15135 David Park Greerbury, VA 30888",1945-09-26,2025-03-16,F,1214,1214
187,Anthony Summers,942-4164-680,USNV Lopez FPO AA 03578,1946-10-09,2025-02-06,M,1237,1237
188,Dawn Lynch,000-2394-589,"71671 Copeland Branch North Heather, PR 55014",2006-10-21,2022-05-01,F,1276,1276
189,Anne Hernandez,681-6517-174,"624 Brooks Road Suite 233 Harrisbury, WA 61000",2001-08-14,2023-01-10,F,1358,1358
190,Tyler Stewart,244-1033-580,"040 Heidi Locks New Jorge, MT 32616",1957-04-13,2023-02-06,M,1273,1193
191,Robert Smith,059-0743-716,"27519 Young Mountains Amandaborough, NV 83621",2004-08-22,2021-11-08,M,1386,1386
192,Brent Blair,557-8065-280,"921 Wang Fort Apt. 805 Danielstad, FL 38981",1971-08-02,2025-02-28,M,1189,619
193,Ashley Noble,867-1001-279,"248 Waters Ville Chaseville, AL 10945",1946-02-16,2021-11-11,M,1004,1004
194,Samantha Carr,149-4090-900,"3917 Sierra Valley Johnsonland, TN 80978",1966-05-20,2022-04-27,F,1357,1357
195,Craig Reyes,894-2795-415,"6775 Mayer Rest Suite 127 Scottstad, NH 06670",1965-04-20,2024-06-25,M,1438,1438
196,Christopher Young,734-2508-267,"6421 Munoz Key Jadebury, NJ 56926",1958-09-07,2023-05-21,F,890,890
197,Vicki Harrison,153-5172-647,"10481 Benjamin Wells Suite 365 New Ryan, MD 57047",1994-08-10,2023-12-09,F,1039,1039
198,Jason Perez,947-9545-724,"7572 Richmond Dale Suite 416 Dennisside, LA 61999",1994-05-11,2020-08-26,M,1383,1383
199,Carol Francis MD,811-2474-799,"7309 Luke Mission Christopherfort, DE 14517",1954-03-09,2023-06-10,F,1182,1182
200,Justin Reed,079-1944-658,"1673 Holly Neck Apt. 220 Dylanville, MD 13780",1952-09-15,2022-03-29,M,1049,1049
201,Melissa Jones,031-3959-325,"91032 Travis Throughway Apt. 365 North Marilynland, SD 03345",1984-11-21,2021-08-17,M,1186,1186
202,Stephanie Young,074-9761-383,"04789 Jonathon Stream Wallaceland, WY 25027",1949-05-30,2021-06-29,F,1064,1064
203,Jeremy Mack,526-5102-286,Unit 3234 Box 5346 DPO AP 50536,1968-05-31,2022-09-13,F,1390,1390
204,Rachel Griffin,808-5707-998,Unit 8739 Box 6400 DPO AA 60203,1977-09-13,2024-05-09,M,1332,1332
205,Michael Davis,270-1424-492,"8172 Denise Estate Port Scottburgh, LA 61757",1976-06-11,2022-12-28,M,1330,1330
206,Michael Brown PhD,113-1201-125,Unit 9374 Box 7144 DPO AE 65306,1983-12-22,2020-11-16,M,1388,1388
207,Richard Murphy,618-1816-335,"9224 Anderson Square Suite 891 Amandafurt, WA 18420",1984-04-12,2020-12-28,M,1224,1224
208,Mr. Cameron Paul,237-2783-043,"59228 Edwards River Apt. 267 Woodside, CA 91141",1952-10-30,2024-08-23,F,1235,1235
209,John Fleming,812-9188-137,"47468 Mcpherson Street Hughesland, FM 48601",1995-02-15,2021-08-13,M,937,937
210,Taylor Costa,333-8981-963,"65597 Green Spurs Suite 807 Smithfort, ME 35312",1954-08-13,2022-09-28,F,1204,1204
211,Laura Harvey,402-5183-804,"6631 Michael Forge East Garyton, MT 87191",2003-02-23,2024-05-21,F,1116,1116
212,Jon Carter,955-5132-455,"61028 Colon Hills Apt. 847 South Ryan, GA 16487",1950-04-24,2022-08-05,M,1319,1319
213,James Oconnell,951-0533-795,"469 Chen Points Suite 726 New Lauren, OR 62198",1998-07-15,2023-11-29,F,906,906
214,Amy Brown,271-0031-682,"257 Baker Walk Apt. 632 Lake Bryceland, FM 13298",1988-12-16,2021-07-04,F,1043,1043
